zoneId;locationX;locationY;attractivity;activityType
272;145.1455722;-37.8843792;20;6
272;145.1451619;-37.8862652;20;5
272;145.1441694;-37.8907122;10;6
272;145.1269332;-37.8849322;20;6
272;145.124721;-37.8948562;10;5
272;145.1153139;-37.8770879;10;5
272;145.1258073;-37.8777653;10;5
272;145.1442767;-37.8912863;20;6
272;145.1444108;-37.8911127;20;6
272;145.1183364;-37.8834668;10;5
272;145.1276618;-37.8784183;20;4
272;145.1285091;-37.8763513;20;4
272;145.1284529;-37.8758579;20;6
272;145.1292753;-37.8766635;20;6
272;145.1274129;-37.8768398;20;6
272;145.1275416;-37.8759929;20;6
272;145.1274409;-37.8767684;20;6
272;145.1292239;-37.877043;20;6
272;145.1351457;-37.8797741;10;6
272;145.109884;-37.8823045;20;5
272;145.128372;-37.8764376;10;6
272;145.1093718;-37.8817933;20;4
272;145.1275886;-37.8757886;20;5
272;145.1279266;-37.8757748;10;4
272;145.14381;-37.8915244;20;4
272;145.1427291;-37.8917007;10;5
272;145.1439503;-37.893465;20;5
272;145.1440742;-37.8910016;20;6
272;145.12917;-37.877538;20;5
272;145.1279212;-37.8758384;20;5
272;145.1279212;-37.8758574;10;4
272;145.12759;-37.8757632;20;5
272;145.1279279;-37.875723;10;4
272;145.1267411;-37.8770388;20;6
272;145.1284828;-37.8804749;20;6
272;145.1428454;-37.8908369;20;5
272;145.1351297;-37.8885788;20;6
272;145.1470998;-37.8773122;10;4
272;145.1470783;-37.8774446;10;4
272;145.1470153;-37.8777992;10;4
272;145.1465163;-37.8803137;20;6
272;145.1429706;-37.8904094;20;5
272;145.1429356;-37.8905169;20;5
272;145.1428122;-37.8909889;20;5
272;145.1427975;-37.8911127;20;5
272;145.1427894;-37.8911805;10;4
272;145.1427841;-37.891226;10;4
272;145.1427774;-37.8912778;10;4
272;145.1427666;-37.8913487;20;5
272;145.1427425;-37.8915086;10;4
272;145.1433286;-37.8908884;10;4
272;145.1432494;-37.8915149;20;4
272;145.1428645;-37.8907328;10;4
272;145.1432736;-37.8913001;10;4
272;145.1433098;-37.8909646;10;4
272;145.1434023;-37.8908884;20;5
272;145.1442546;-37.8909704;20;5
272;145.1443873;-37.8910063;20;5
272;145.1434587;-37.8909254;20;5
272;145.1440005;-37.8909931;10;4
272;145.1439455;-37.8909857;20;6
272;145.1439844;-37.8909138;20;6
272;145.1438161;-37.8909704;20;5
272;145.143743;-37.8909603;20;4
272;145.1436672;-37.8909524;20;5
272;145.1435418;-37.8909328;10;4
272;145.1434788;-37.8915361;20;4
272;145.1435277;-37.8915398;20;5
272;145.1442553;-37.8914504;20;5
272;145.144272;-37.8913392;10;4
272;145.1442872;-37.8912315;20;5
