zoneId;Attractivity:Work;Attractivity:Business;Attractivity:Otherhome;Attractivity:Education;Attractivity:Shopping;Attractivity:Leisure;Attractivity:Service;Attractivity:Education_Primary;Attractivity:Education_Secondary;Attractivity:Education_Tertiary;Attractivity:Education_Occup;Attractivity:Leisure_Indoor;Attractivity:Leisure_Outdoor;Attractivity:Leisure_Walk;Attractivity:Shopping_Daily;Attractivity:Shopping_Other;Attractivity:Private_Business;Attractivity:Private_Visit
173;70;0;0;10;20;30;10;0;0;0;0;0;0;85;0;0;0;0
174;50;0;0;30;50;60;70;0;0;0;0;0;0;40;0;0;0;0
175;100;0;0;40;30;140;70;0;0;0;0;0;0;45;0;0;0;0
176;180;0;0;70;10;10;80;0;0;0;0;0;0;55;0;0;0;0
177;140;0;0;70;100;90;80;0;0;0;0;0;0;20;0;0;0;0
178;30;0;0;10;0;0;10;0;0;0;0;0;0;10;0;0;0;0
179;110;0;0;20;270;200;140;0;0;0;0;0;0;40;0;0;0;0
180;110;0;0;40;80;50;40;0;0;0;0;0;0;5;0;0;0;0
181;70;0;0;10;0;0;0;0;0;0;0;0;0;30;0;0;0;0
182;130;0;0;50;160;230;290;0;0;0;0;0;0;75;0;0;0;0
183;140;0;0;50;290;460;210;0;0;0;0;0;0;155;0;0;0;0
184;20;0;0;10;10;70;0;0;0;0;0;0;0;40;0;0;0;0
185;160;0;0;60;500;250;360;0;0;0;0;0;0;85;0;0;0;0
186;60;0;0;10;0;0;0;0;0;0;0;0;0;30;0;0;0;0
187;70;0;0;10;40;60;50;0;0;0;0;0;0;35;0;0;0;0
188;130;0;0;60;200;250;210;0;0;0;0;0;0;175;0;0;0;0
189;300;0;0;80;810;1120;750;0;0;0;0;0;0;100;0;0;0;0
190;250;0;0;50;300;280;260;0;0;0;0;0;0;145;0;0;0;0
191;190;0;0;80;210;200;200;0;0;0;0;0;0;80;0;0;0;0
192;210;0;0;40;460;520;350;0;0;0;0;0;0;90;0;0;0;0
193;40;0;0;30;160;110;60;0;0;0;0;0;0;20;0;0;0;0
194;220;0;0;100;10;30;70;0;0;0;0;0;0;75;0;0;0;0
195;110;0;0;50;120;160;200;0;0;0;0;0;0;70;0;0;0;0
196;90;0;0;10;80;270;160;0;0;0;0;0;0;50;0;0;0;0
197;160;0;0;80;30;40;20;0;0;0;0;0;0;80;0;0;0;0
198;260;0;0;100;560;510;230;0;0;0;0;0;0;80;0;0;0;0
199;320;0;0;100;60;180;160;0;0;0;0;0;0;110;0;0;0;0
