150,348
415,273
575,175
701,92
876,87
893,193
1407,40
1441,64
1451,269
1489,87
1540,259
1581,341
1584,77
1587,330
1590,338
1690,73
1700,342
1727,79
1777,183
1789,311
1811,111
2286,30
2386,268
2679,131
2680,178
2682,321
2832,305
2893,330
3060,191
3106,93
3478,72
3544,221
3556,93
3598,131
3648,321
3663,83
4187,7
4188,30
4256,343
4324,352
4328,164
4710,86
4956,193
4976,266
5015,308
5362,259
5593,79
5648,294
5663,348
5677,308
5833,33
6003,273
6060,105
6143,110
6241,242
6266,59
6320,193
6479,92
6953,242
7117,105
7144,241
7181,340
7347,306
7461,53
7504,349
7532,104
7558,246
7591,58
7631,77
7653,337
7826,58
8109,83
8168,83
8225,242
8268,56
8500,55
103,53
151,344
179,283
223,318
253,182
346,84
379,132
393,193
399,318
414,229
553,228
592,205
611,80
756,333
801,132
916,130
1081,182
1265,82
1417,82
1749,66
2031,296
2130,263
2235,9
2422,72
2466,77
2533,340
2850,198
2873,56
3051,8
3225,106
3326,63
3933,96
3955,16
4168,320
4267,66
4348,35
4491,60
4506,83
4512,255
4579,237
4595,296
4629,212
4634,80
4820,138
4835,269
4942,285
5080,191
5134,273
5241,313
5268,187
5462,13
5494,67
5617,67
5621,302
5855,183
5934,138
5945,9
6011,179
6035,182
6050,340
6253,333
6291,229
6384,191
6785,56
6950,296
7064,184
7184,73
7354,312
7440,74
7634,122
7702,188
7846,83
8178,116
8319,137
8350,13
8397,89
8478,11
8579,83
8647,84
58,55
167,209
283,351
286,53
366,272
829,20
1030,344
1071,35
1113,272
1129,134
1183,113
1543,116
1601,211
1650,175
1803,212
1923,224
1926,49
1984,119
2034,9
2099,83
2153,56
2207,193
2306,302
2455,222
2649,198
2774,243
2788,42
2908,331
2941,265
2999,298
3029,198
3049,219
3099,108
3257,198
3263,66
3264,207
3318,66
3512,347
3851,343
3880,11
3893,337
3909,236
4175,133
4319,239
4397,338
4449,338
4721,67
4932,34
5120,321
5420,55
5432,302
5523,341
5558,50
5771,298
5795,145
5845,113
5880,298
6008,83
6046,26
6105,263
6113,347
6170,56
6298,258
6301,42
6362,260
6484,34
6691,348
6734,269
6750,133
6902,188
6907,347
7138,254
7476,302
7497,192
7616,53
7773,146
7781,239
7798,331
7972,251
8119,11
8226,66
8396,337
8400,207
8692,164
262,97
269,24
322,115
428,167
576,97
652,204
774,14
838,329
895,99
945,183
946,324
1292,294
1380,183
1401,270
1460,268
1571,170
2102,329
2227,109
2485,42
2831,259
2864,259
2874,69
2906,284
2958,99
2980,277
3268,65
3415,192
3551,248
3591,275
3712,112
3724,205
3755,351
3797,338
3808,110
3842,292
4117,349
4129,110
4131,77
4300,132
4346,270
4405,25
4536,194
4614,264
4827,318
4903,24
4964,49
5034,25
5183,294
5269,87
5304,347
5354,204
5364,288
5376,90
5384,2
5397,338
5439,267
5479,319
5567,297
5668,66
5675,90
5712,128
6049,314
6118,188
6150,259
6381,80
6543,338
6709,188
6929,344
7155,296
7400,8
7475,168
7481,52
7516,246
7679,287
7747,204
8054,230
8152,344
8192,198
8404,63
8490,344
8493,141
8503,150
8506,342
8566,313
8651,16
8709,246
22,351
34,78
44,346
90,280
246,82
263,85
312,97
419,267
600,294
634,198
751,256
900,86
1016,236
1095,346
1130,104
1148,80
1190,41
1288,345
1501,71
1582,149
1616,84
1662,86
1672,332
1737,163
1959,345
2137,167
2288,78
2300,108
2365,66
2502,56
2830,294
2853,42
2856,235
2946,338
2951,80
3140,62
3148,102
3460,167
3590,241
3605,53
3775,126
3809,34
3833,82
3982,240
4075,280
4095,198
4164,199
4301,161
4372,56
4395,55
4544,50
4674,280
4704,33
4759,198
4936,102
4953,62
5016,104
5094,259
5119,263
5144,318
5213,257
5288,104
5430,269
5541,302
5569,55
5578,93
5586,63
5746,198
5791,39
5816,37
5988,55
6001,338
6154,274
6238,71
6426,86
6476,112
6558,140
6789,285
6822,78
6837,61
6843,104
6872,243
7072,97
7139,80
7316,241
7341,82
7753,271
7810,97
7899,285
7945,66
7959,168
8010,84
8083,243
8102,300
8136,153
8142,66
8145,66
8209,51
8427,278
8540,45
8654,316
8775,205
8783,9
5,198
134,199
176,74
295,142
357,86
375,105
385,129
431,259
495,272
603,243
700,198
734,217
833,208
964,44
1072,49
1309,255
1461,302
1467,300
1609,5
1681,144
1819,336
2032,139
2358,341
2522,208
2530,105
2555,143
2566,342
2792,250
3027,319
3170,182
3266,283
3307,198
3379,58
3530,267
3534,263
3701,74
3710,293
3964,259
4003,43
4157,199
4211,87
4271,290
4313,352
4326,267
4461,298
4610,42
4777,284
4879,284
4957,267
5070,114
5232,179
5253,14
5261,292
5367,205
5415,114
5461,276
5491,78
5519,161
5661,334
5705,41
5734,317
5752,255
5921,78
6210,86
6221,342
6296,49
6330,131
6408,106
6443,55
6698,49
6811,58
6844,34
6924,92
6952,317
7083,292
7127,117
7375,117
7425,49
7701,198
7838,293
7886,184
8078,260
8153,232
8249,131
8273,38
8502,78
8751,86
8767,157
8867,92
8887,246
